,story_key,fact_key,fact_score,fact_score,fact_score,bertscore_f1
,,,mean,std,count,mean
0,ai_regulation,fact_1,0.32450182186439636,0.2765491769174366,50,0.10947188769001513
1,ai_regulation,fact_2,0.3304484570771456,0.2888282405000629,50,0.10947188769001513
2,ai_regulation,fact_3,0.3559117565304041,0.2806826936283629,50,0.10947188769001513
3,ai_regulation,fact_4,0.42797783672809603,0.2412345252142925,50,0.10947188769001513
4,climate,fact_1,0.5350275182723999,0.282863815110623,50,0.15938198909163476
5,climate,fact_2,0.5124001632630825,0.2139681281928264,50,0.15938198909163476
6,climate,fact_3,0.5242468091845512,0.25610081516227906,50,0.15938198909163476
7,climate,fact_4,0.5388191300630569,0.18096124088658772,50,0.15938198909163476
8,housing,fact_1,0.6134299156069756,0.23947797969801654,50,0.21119035214185714
9,housing,fact_2,0.5761133886873722,0.36201178239653364,50,0.21119035214185714
10,housing,fact_3,0.6320018035173416,0.2850576609620917,50,0.21119035214185714
11,housing,fact_4,0.6330154652893544,0.29873794699348494,50,0.21119035214185714
12,tariffs,fact_1,0.39063916184008124,0.29655883674028477,50,0.1275108930375427
13,tariffs,fact_2,0.39448443450033666,0.24296016590965705,50,0.1275108930375427
14,tariffs,fact_3,0.5464158180356026,0.272946590333932,50,0.1275108930375427
15,tariffs,fact_4,0.5237407785654068,0.23768730557073905,50,0.1275108930375427
16,vaccines,fact_1,0.551166291385889,0.2972714835131665,50,0.17146418881602585
17,vaccines,fact_2,0.5180287886410951,0.3075874888005099,50,0.17146418881602585
18,vaccines,fact_3,0.4962239734828472,0.2965505154998396,50,0.17146418881602585
19,vaccines,fact_4,0.5573380821943283,0.2553898782516075,50,0.17146418881602585
